/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 154 | Reward: 45.0 | Policy Loss: -4.964592456817627 | critic Loss: 0.30345475673675537 | Steps: 2676
Episode: 155 | Reward: 24.0 | Policy Loss: -5.001237392425537 | critic Loss: 0.10841777920722961 | Steps: 2700
Episode: 156 | Reward: 27.0 | Policy Loss: -4.87493896484375 | critic Loss: 0.20226366817951202 | Steps: 2727
Episode: 157 | Reward: 28.0 | Policy Loss: -5.110908508300781 | critic Loss: 0.14604532718658447 | Steps: 2755
Episode: 158 | Reward: 30.0 | Policy Loss: -5.116490364074707 | critic Loss: 0.25683778524398804 | Steps: 2785
Episode: 159 | Reward: 35.0 | Policy Loss: -5.011507987976074 | critic Loss: 0.23498684167861938 | Steps: 2820
Episode: 160 | Reward: 25.0 | Policy Loss: -5.092155456542969 | critic Loss: 0.30148541927337646 | Steps: 2845
Episode: 161 | Reward: 43.0 | Policy Loss: -4.980866432189941 | critic Loss: 0.434975266456604 | Steps: 2888
Episode: 162 | Reward: 35.0 | Policy Loss: -5.057631492614746 | critic Loss: 0.20225128531455994 | Steps: 2923
Episode: 163 | Reward: 72.0 | Policy Loss: -5.120059013366699 | critic Loss: 0.14967280626296997 | Steps: 2995
Episode: 164 | Reward: 64.0 | Policy Loss: -5.079753875732422 | critic Loss: 0.24587363004684448 | Steps: 3059
Episode: 165 | Reward: 110.0 | Policy Loss: -5.219454288482666 | critic Loss: 0.4282054603099823 | Steps: 3169
Episode: 166 | Reward: 183.0 | Policy Loss: -5.058493614196777 | critic Loss: 0.20032933354377747 | Steps: 3352
Episode: 167 | Reward: 140.0 | Policy Loss: -5.025729656219482 | critic Loss: 0.14989955723285675 | Steps: 3492
Episode: 168 | Reward: 183.0 | Policy Loss: -5.027749061584473 | critic Loss: 0.15370257198810577 | Steps: 3675
Episode: 169 | Reward: 116.0 | Policy Loss: -4.976844310760498 | critic Loss: 0.0844973474740982 | Steps: 3791
Episode: 170 | Reward: 200.0 | Policy Loss: -4.719728946685791 | critic Loss: 0.11333728581666946 | Steps: 3991
Episode: 171 | Reward: 108.0 | Policy Loss: -4.799067497253418 | critic Loss: 0.0851234644651413 | Steps: 4099
Episode: 172 | Reward: 128.0 | Policy Loss: -4.615300178527832 | critic Loss: 0.10793416947126389 | Steps: 4227
Episode: 173 | Reward: 109.0 | Policy Loss: -4.6435627937316895 | critic Loss: 0.1569315791130066 | Steps: 4336
Episode: 174 | Reward: 93.0 | Policy Loss: -4.568222522735596 | critic Loss: 0.06955448538064957 | Steps: 4429
